name,link,description,price,image,features,main_category,sub_category
헤드앤숄더 가려운 두피케어 샴푸 850ml,https://prod.danawa.com/info/?pcode=16974860&cate=18313515,유칼립투스 성분이 두피 가려움 완화,8300,//placehold.co/130,"['샴푸', '비듬케어', '펌프형']",샴푸,일반샴푸
드봉 차밍 투인원 겸용 샴푸 4.2kg,https://prod.danawa.com/info/?pcode=8664032&cate=18313515,샴푸와 린스를 한번에!,11950,//placehold.co/130,"['샴푸', '리필 대용량', '캡형']",샴푸,일반샴푸
폴미첼 티트리 스페셜 샴푸 1000ml,https://prod.danawa.com/info/?pcode=2160442&cate=18313515,,33520,//placehold.co/130,"['샴푸', '지성두피', '두피쿨링', '대용량', '펌프형']",샴푸,일반샴푸
알페신 카페인 샴푸 C1 1250ml,https://prod.danawa.com/info/?pcode=3336446&cate=18313515,두피와 모발에 활력을 더하는 카페인 샴푸,35480,//placehold.co/130,"['샴푸', '남성용', '실리콘프리', '대용량', '펌프형']",샴푸,일반샴푸
헤드앤숄더 울트라 쿨멘솔 샴푸 1.8L,https://prod.danawa.com/info/?pcode=20000564&cate=18313515,"수분 충전은 물론, 강력한 두피 쿨링감",12510,//img.danawa.com/prod_img/500000/564/000/img/20000564_1.jpg?shrink=130:130&_v=20230713141611,"['샴푸', '비듬케어', '두피쿨링', '대용량', '펌프형']",샴푸,일반샴푸
헤드앤숄더 클리니컬 스트렝스 이치릴리프 비듬 샴푸 400ml,https://prod.danawa.com/info/?pcode=13653101&cate=18313515,"비듬, 지루성 두피 완화에 도움을 주는 샴푸",15660,//img.danawa.com/prod_img/500000/101/653/img/13653101_1.jpg?shrink=130:130&_v=20230328144555,"['샴푸', '비듬케어', '캡형']",샴푸,일반샴푸
려 흑운 모근강화 볼륨케어 샴푸 400ml,https://prod.danawa.com/info/?pcode=18054647&cate=18313515,,6750,//img.danawa.com/prod_img/500000/647/054/img/18054647_1.jpg?shrink=130:130&_v=20221020133742,"['샴푸', '약산성(pH4.5~6.5)', '펌프형']",샴푸,일반샴푸
헤드앤숄더 쿨 멘솔 샴푸 850ml,https://prod.danawa.com/info/?pcode=17105906&cate=18313515,비듬을 완화하고 두피를 시원하게!,8270,//img.danawa.com/prod_img/500000/906/105/img/17105906_1.jpg?shrink=130:130&_v=20230713141309,"['샴푸', '비듬케어', '두피쿨링', '유분케어', '펌프형']",샴푸,일반샴푸
엘라스틴 프로틴클리닉 단백질 고영양 샴푸 1000ml,https://prod.danawa.com/info/?pcode=16323887&cate=18313515,단백질 영양 공급 특허 기술 적용 고영양 클리닉,5270,//img.danawa.com/prod_img/500000/887/323/img/16323887_1.jpg?shrink=130:130&_v=20230713140050,"['샴푸', '대용량', '펌프형']",샴푸,일반샴푸
헤드앤숄더 클리니컬 스트렝스 비듬 샴푸 400ml,https://prod.danawa.com/info/?pcode=8592488&cate=18313515,"비듬, 지루성 두피 완화에 도움을 주는 샴푸",15660,//img.danawa.com/prod_img/500000/488/592/img/8592488_1.jpg?shrink=130:130&_v=20230328154208,"['샴푸', '건성두피', '비듬케어', '캡형']",샴푸,일반샴푸
